"Year","Month","Copper_Open","Copper_High","Copper_Low","Copper_Price"
1994,"(0.866, -0.5)",0.0369,0.0346,0.3395,0.05
1994,"(1.0, 0.0)",0.0348,0.0214,0.3348,0.0337
1994,"(0.866, 0.5)",0.0403,0.0276,0.3347,0.0313
1994,"(0.5, 0.866)",0.0319,0.0229,0.3361,0.0368
1993,"(-0.0, 1.0)",0.0425,0.0217,0.3339,0.0289
1993,"(-0.5, 0.866)",0.0534,0.0378,0.3422,0.0387
1993,"(-0.866, 0.5)",0.0673,0.0481,0.3531,0.0502
1993,"(-1.0, -0.0)",0.0622,0.047,0.35,0.0646
1993,"(-0.866, -0.5)",0.0584,0.0478,0.3552,0.0607
1993,"(-0.5, -0.866)",0.0683,0.0463,0.3524,0.0576
1993,"(0.0, -1.0)",0.0769,0.0568,0.3614,0.0651
1993,"(0.5, -0.866)",0.081,0.0597,0.366,0.0741
1993,"(0.866, -0.5)",0.0806,0.0604,0.3711,0.078
1993,"(1.0, 0.0)",0.0805,0.0633,0.3691,0.0773
1993,"(0.866, 0.5)",0.0802,0.0604,0.3675,0.0786
1993,"(0.5, 0.866)",0.0728,0.0604,0.3611,0.0759
1992,"(-0.0, 1.0)",0.0756,0.0554,0.3642,0.0701
1992,"(-0.5, 0.866)",0.0827,0.0613,0.3716,0.0731
1992,"(-0.866, 0.5)",0.0907,0.0731,0.3752,0.0787
1992,"(-1.0, -0.0)",0.0879,0.0726,0.3811,0.0871
1992,"(-0.866, -0.5)",0.0908,0.0684,0.3778,0.0854
1992,"(-0.5, -0.866)",0.0908,0.0709,0.3794,0.0884
1992,"(0.0, -1.0)",0.0936,0.0767,0.3821,0.0863
1992,"(0.5, -0.866)",0.0841,0.0712,0.3728,0.0902
1992,"(0.866, -0.5)",0.0746,0.0616,0.3699,0.0805
1992,"(1.0, 0.0)",0.0661,0.051,0.3618,0.0696
1992,"(0.866, 0.5)",0.0691,0.0554,0.3605,0.0637
1992,"(0.5, 0.866)",0.0703,0.0532,0.3584,0.0654
1991,"(-0.0, 1.0)",0.0875,0.0655,0.362,0.0671
1991,"(-0.5, 0.866)",0.1042,0.0847,0.3786,0.0854
1991,"(-0.866, 0.5)",0.0935,0.0859,0.3852,0.0999
1991,"(-1.0, -0.0)",0.0935,0.073,0.3802,0.0911
1991,"(-0.866, -0.5)",0.0896,0.0778,0.3791,0.0914
